	0	1	2	3	4	5	6	7	8	9
438	0	99	0	11	0	0	0	10	0	0
1405	0	37	0	0	42	0	0	0	51	0
1457	23	0	51	0	28	40	0	0	40	42
3087	0	94	83	49	99	29	0	0	0	0
4193	0	0	42	85	52	94	27	10	50	0
4209	0	83	78	0	88	0	0	30	0	0
4751	0	0	0	0	2	0	49	10	0	0
5130	0	0	0	34	0	0	0	97	0	0
5287	51	0	34	0	0	0	77	27	0	9
5669	76	68	60	80	0	77	0	10	55	26
6113	0	51	0	0	76	0	0	0	0	9
7109	0	0	83	66	0	0	0	0	29	0
7203	0	0	0	0	0	0	0	31	0	23
7789	77	0	42	0	0	0	0	10	0	0
7989	0	0	42	0	12	0	52	10	83	0
8347	25	88	0	0	0	0	0	0	77	0
8626	0	0	0	0	0	0	0	0	77	83
9390	0	0	0	0	6	0	0	10	0	0
9519	0	0	0	0	0	57	0	10	0	0
9533	12	0	0	0	0	27	0	10	92	0
9650	0	0	0	83	0	60	0	10	0	0
9816	0	73	0	0	0	0	0	10	67	0
9964	83	16	53	0	9	0	0	0	0	0
10006	0	0	0	0	0	0	0	10	95	0
10204	51	0	0	0	0	0	42	0	0	0
10391	0	0	0	83	0	94	26	50	0	2
10635	0	11	0	94	76	0	0	0	0	9
10777	0	0	0	0	0	0	0	34	0	100
11095	29	0	0	60	0	99	0	10	0	0
11176	0	0	0	0	76	0	0	0	85	9
11278	45	91	53	0	0	0	73	0	55	23
11387	57	0	0	0	0	61	0	0	83	0
11649	0	0	0	0	0	0	2	35	0	0
11709	0	0	0	0	0	0	0	10	91	0
11834	77	0	42	0	0	0	0	10	0	86
12026	77	0	42	46	96	0	0	10	0	86
12080	0	0	0	0	0	0	0	26	0	0
12237	100	0	0	31	0	0	0	0	77	0
12357	0	0	0	0	0	0	96	96	83	0
12594	0	0	0	0	0	0	0	0	45	9
12601	0	0	42	85	0	0	0	10	73	0
12642	0	97	0	12	37	0	0	0	0	0
12935	0	0	51	0	0	0	0	51	40	0
13307	0	0	83	16	0	0	12	0	0	0
13332	0	0	58	0	42	0	0	31	0	0
13415	57	75	38	92	0	0	0	0	0	0
13458	0	0	53	83	0	0	0	31	0	0
13470	0	0	0	0	0	76	83	10	0	0
13648	45	0	53	0	32	0	0	0	0	0
13841	0	68	0	0	79	31	0	0	77	0
13893	0	0	0	0	63	77	0	10	15	0
13926	0	0	37	0	95	0	0	31	0	0
14005	45	91	53	2	0	0	0	0	2	0
14035	0	0	0	0	0	0	96	0	0	0
14289	83	0	42	0	49	20	0	10	0	0
14296	0	0	0	0	0	0	0	0	0	0
14357	10	60	0	77	0	0	57	0	85	0
14517	0	0	0	76	0	0	0	0	0	0
14705	0	0	0	77	0	12	0	40	0	0
14758	12	0	45	0	0	27	0	10	92	84
14908	0	0	51	0	28	43	0	0	40	0
14942	94	0	0	0	23	60	77	51	0	0
15284	0	0	0	0	0	92	0	0	0	57
15352	0	78	0	0	0	0	0	10	0	0
15411	25	0	77	0	0	0	0	0	77	2
15580	66	0	42	0	0	0	0	10	96	0
15638	0	0	60	0	0	0	0	10	0	0
15942	85	24	0	83	0	0	26	0	0	0
16011	25	0	0	0	49	0	0	0	77	100
16154	100	51	83	0	0	0	0	45	0	0
16159	0	11	0	0	0	0	87	10	25	0
16189	60	0	66	0	0	0	0	10	0	0
16255	0	0	35	0	66	76	0	10	20	31
16343	0	0	0	0	0	99	0	10	88	56
16468	11	68	23	0	0	42	0	0	77	88
16568	57	75	38	0	0	0	0	0	2	0
16984	0	51	0	0	0	0	51	20	0	9
16985	0	51	0	0	0	0	51	20	0	9
17189	57	0	96	73	0	0	0	0	0	9
17272	0	0	0	0	0	77	0	10	0	0
17327	0	0	0	31	0	0	0	0	0	47
17396	0	31	0	59	0	0	0	31	0	0
17437	40	0	35	40	66	76	0	10	20	0
17833	0	0	0	0	66	76	0	10	0	44
18089	0	31	0	0	0	46	96	96	0	0
18341	0	0	0	0	72	0	0	0	77	0
18413	0	42	51	0	0	91	12	12	68	91
18546	0	0	0	77	0	0	0	37	85	0
18663	0	42	0	0	0	0	0	10	0	0
18685	85	24	0	83	0	2	26	0	0	0
18988	73	0	77	0	0	0	0	0	0	94
19199	0	0	0	0	0	0	0	0	83	0
19207	60	0	42	0	0	0	0	10	0	0
19237	0	0	35	0	66	76	0	10	20	0
19332	0	0	0	0	0	0	0	10	0	0
19533	80	0	0	0	11	0	0	10	0	0
19536	0	0	0	0	76	0	0	0	0	9
19818	0	0	83	0	0	0	0	0	0	0
19854	85	42	77	83	0	0	26	23	11	0
19926	25	88	0	0	0	0	0	0	77	0
